Wall time,Step,Value
1714481977.9707265,0,0.7889999747276306
1714482049.7846854,1,0.8329299688339233
1714482121.389104,2,0.8490099906921387
1714482200.3637304,3,0.8585100173950195
1714482272.3077507,4,0.8690400123596191
1714482343.6000597,5,0.878000020980835
1714482414.9732883,6,0.8839300274848938
1714482486.5200374,7,0.8891599774360657
1714482558.1018786,8,0.8949400186538696
1714482629.6244638,9,0.9005500078201294
1714482701.168869,10,0.905239999294281
1714482773.0704827,11,0.906440019607544
1714482844.7025628,12,0.9106799960136414
1714482916.062219,13,0.9149600267410278
1714482987.5773478,14,0.9172499775886536
1714483059.358783,15,0.9200400114059448
1714483131.519555,16,0.9245799779891968
1714483203.237509,17,0.925819993019104
1714483274.41394,18,0.9290800094604492
1714483345.5256894,19,0.9299399852752686
1714483416.9414585,20,0.9314000010490417
1714483488.2065587,21,0.9333099722862244
1714483564.8060467,22,0.9356499910354614
1714483636.7813478,23,0.9357900023460388
1714483708.5210266,24,0.9392600059509277
1714483780.9605849,25,0.9394000172615051
1714483853.2142365,26,0.9414600133895874
1714483925.2063413,27,0.9427800178527832
1714483996.3828335,28,0.9441400170326233
1714484068.0978534,29,0.9453099966049194
