Wall time,Step,Value
1714481977.9706624,0,0.5361799001693726
1714482049.7846134,1,0.41417911648750305
1714482121.389044,2,0.3652038872241974
1714482200.36367,3,0.3343370258808136
1714482272.3076897,4,0.3115406334400177
1714482343.5999916,5,0.2906475365161896
1714482414.9732194,6,0.2726338505744934
1714482486.5199785,7,0.26022225618362427
1714482558.1018176,8,0.24938037991523743
1714482629.624401,9,0.23751361668109894
1714482701.1688051,10,0.2255275845527649
1714482773.0704224,11,0.22117558121681213
1714482844.7025027,12,0.21524575352668762
1714482916.0621574,13,0.20434805750846863
1714482987.5772607,14,0.19986680150032043
1714483059.3587232,15,0.1932532787322998
1714483131.5194974,16,0.1848437637090683
1714483203.2374487,17,0.18154877424240112
1714483274.4138796,18,0.1768089383840561
1714483345.5256305,19,0.17213815450668335
1714483416.9413993,20,0.16791558265686035
1714483488.2064998,21,0.16393263638019562
1714483564.8059847,22,0.15987633168697357
1714483636.7812862,23,0.15731504559516907
1714483708.5209672,24,0.14995481073856354
1714483780.9605253,25,0.1499388962984085
1714483853.2141762,26,0.14784498512744904
1714483925.2062805,27,0.14434866607189178
1714483996.382757,28,0.14050261676311493
1714484068.0977886,29,0.13611163198947906
